datetime,Depot,ST-296,ST-297,ST-414,ST-424,ST-425,ST-45,ST-46,ST-47,ST-50,ST-51,ST-52,ST-53,ST-55,ST-56,ST-57,ST-58,ST-59,ST-60,ST-61,ST-62,ST-63,ST-64,ST-65,ST-66,ST-67,ST-68,ST-69,ST-70,ST-71,ST-72,ST-73,
2017-09-20 16:00:00,85,8,4,9,8,8,23,15,28,26,1,27,24,23,23,15,19,7,12,12,12,16,6,10,17,15,5,19,17,8,27,21,
2017-09-20 16:10:00,85,8,4,9,8,8,22,15,29,26,0,27,24,23,23,15,20,6,13,12,11,16,5,9,17,15,6,19,17,8,27,23,
2017-09-20 16:20:00,85,9,4,9,8,8,22,15,29,25,0,27,24,23,23,16,21,7,13,13,11,16,6,9,17,15,6,19,16,8,26,21,
2017-09-20 16:30:00,85,10,4,9,7,7,23,16,29,26,0,27,24,24,23,16,21,7,13,13,11,15,6,8,17,16,4,20,16,7,27,18,
2017-09-20 16:40:00,85,9,2,9,7,8,23,16,28,26,0,27,25,24,38,16,21,7,12,11,10,15,6,8,16,16,4,21,18,7,27,18,
2017-09-20 16:50:00,85,8,2,9,7,8,23,15,27,11,0,26,25,24,38,15,21,8,12,11,11,14,6,8,16,15,5,22,18,8,27,21,
2017-09-20 17:00:00,85,6,5,9,11,7,27,11,24,9,0,24,21,48,38,18,19,5,10,12,11,15,3,11,17,9,4,23,17,7,25,6,
2017-09-20 17:10:00,85,6,4,9,11,7,28,11,26,9,1,25,20,48,22,17,20,6,9,11,12,15,2,11,17,9,1,23,17,7,25,4,
2017-09-20 17:20:00,85,6,5,9,11,7,28,10,23,9,2,24,19,46,22,17,20,4,9,11,11,15,3,11,17,9,2,21,17,6,23,8,
2017-09-20 17:30:00,85,7,5,9,11,7,27,9,24,8,0,24,18,45,22,17,20,4,9,10,11,15,3,11,17,8,1,20,19,8,23,8,
2017-09-20 17:40:00,85,7,5,8,11,7,26,9,24,7,0,24,18,45,21,18,20,2,7,9,12,15,2,11,18,9,0,20,32,8,24,6,
2017-09-20 17:50:00,85,6,5,8,11,7,26,10,23,8,1,23,18,46,21,16,19,2,6,10,12,15,2,12,16,9,0,22,32,8,24,8,
2017-09-20 18:00:00,85,5,4,8,13,7,21,6,25,5,7,19,20,26,19,20,17,0,6,13,11,13,7,9,14,9,5,21,32,11,26,6,
2017-09-20 18:10:00,85,4,4,8,13,7,20,6,25,6,4,15,15,25,18,20,15,0,2,12,11,12,6,10,11,11,5,22,29,11,25,9,
