datetime,Depot,ST-296,ST-297,ST-414,ST-424,ST-425,ST-45,ST-46,ST-47,ST-50,ST-51,ST-52,ST-53,ST-55,ST-56,ST-57,ST-58,ST-59,ST-60,ST-61,ST-62,ST-63,ST-64,ST-65,ST-66,ST-67,ST-68,ST-69,ST-70,ST-71,ST-72,ST-73
2017-09-20 16:00:00,100,8,4,9,8,8,23,15,28,26,0,27,24,23,23,15,19,7,12,12,12,16,6,10,17,15,5,19,17,8,27,21
2017-09-20 16:10:00,85,8,4,9,8,8,24,13,43,26,0,26,23,21,24,15,19,6,12,12,12,16,4,11,16,15,5,20,17,8,26,15
2017-09-20 16:20:00,85,8,4,9,8,8,24,13,42,26,0,26,22,20,24,15,19,6,11,12,11,16,4,9,16,15,7,20,17,7,26,16
2017-09-20 16:30:00,85,8,4,9,10,8,26,26,27,26,0,26,22,19,22,17,19,7,11,12,11,17,4,9,17,15,5,21,17,6,26,15
2017-09-20 16:40:00,85,9,4,9,10,7,26,11,26,26,0,26,22,19,37,17,19,6,11,13,11,17,3,11,17,11,6,22,17,7,25,11
2017-09-20 16:50:00,85,7,4,9,11,7,26,11,25,26,0,24,22,19,37,18,19,5,11,13,11,16,3,10,17,10,5,22,17,7,25,10
2017-09-20 17:00:00,85,6,5,9,11,7,27,11,24,9,0,24,21,33,38,18,19,5,10,12,11,15,3,11,17,9,4,23,17,7,25,6
2017-09-20 17:10:00,85,6,5,9,12,7,25,11,23,8,0,22,21,32,38,17,19,1,10,12,12,15,6,11,14,10,6,21,19,7,25,5
2017-09-20 17:20:00,85,6,4,9,12,7,25,10,25,7,0,20,22,46,22,17,17,0,10,12,11,16,7,10,14,8,5,22,20,8,26,10
2017-09-20 17:30:00,85,8,4,9,12,7,24,10,25,8,0,20,22,31,21,17,17,0,10,13,26,15,7,10,13,10,5,22,19,10,27,18
2017-09-20 17:40:00,85,7,4,9,13,7,24,9,25,6,0,20,21,27,20,15,18,0,10,13,11,15,7,10,15,11,7,21,34,10,26,12
2017-09-20 17:50:00,85,6,4,10,13,7,23,7,27,7,0,20,22,27,21,18,18,0,7,13,11,13,7,11,15,12,5,20,34,10,25,12
2017-09-20 18:00:00,85,5,4,8,13,7,21,6,25,5,0,19,20,26,19,20,17,0,6,13,11,13,7,9,14,9,5,21,32,11,26,6
2017-09-20 18:10:00,85,7,3,7,0,7,20,15,14,0,0,16,17,23,15,19,14,0,2,11,11,13,6,9,13,8,4,18,31,12,24,11
2017-09-20 18:20:00,85,1,3,5,0,7,17,0,9,0,0,4,10,18,13,16,8,15,3,7,8,9,6,8,8,4,3,18,30,10,22,7
2017-09-20 18:30:00,85,1,2,5,0,6,15,0,4,0,0,1,8,17,11,20,7,15,2,4,8,9,6,6,3,6,1,21,31,8,23,14
2017-09-20 18:40:00,85,1,4,5,0,7,12,1,1,0,0,1,5,14,9,19,8,15,2,3,6,9,5,7,2,3,1,21,33,7,21,11
2017-09-20 18:50:00,85,2,5,4,0,6,11,1,1,0,0,1,5,0,9,17,1,15,2,0,5,9,5,5,3,17,2,22,32,7,19,4
2017-09-20 19:00:00,85,1,7,2,1,5,4,0,0,0,0,1,5,0,10,12,0,15,2,0,5,8,5,3,3,22,1,20,31,6,20,9
2017-09-20 19:10:00,85,0,9,2,0,5,1,1,2,16,0,2,5,1,8,11,0,15,2,1,0,9,5,3,3,24,1,20,31,5,16,2
2017-09-20 19:20:00,85,0,9,2,0,6,1,0,0,1,14,1,5,2,8,8,0,15,2,0,0,8,1,4,2,21,2,23,33,3,14,3
2017-09-20 19:30:00,85,1,8,2,0,6,1,0,0,1,14,0,5,2,8,7,1,16,2,0,0,8,0,5,2,19,2,22,32,4,12,7
2017-09-20 19:40:00,85,1,9,3,0,6,1,1,2,1,14,0,5,1,8,3,0,16,0,0,2,8,0,2,2,21,2,22,32,3,11,10
2017-09-20 19:50:00,85,1,6,3,0,5,1,2,2,2,14,0,5,2,9,0,0,16,0,0,0,9,0,2,2,22,2,24,33,2,8,14
