Truck, # bikes, From time, From stn, To time, To stn, Arc num
0,15,2017-09-20 16:00:00,Depot,2017-09-20 16:20:00,ST-47,40
0,15,2017-09-20 16:20:00,ST-47,2017-09-20 16:30:00,ST-46,2343
0,15,2017-09-20 16:30:00,ST-46,2017-09-20 16:40:00,ST-56,3342
0,0,2017-09-20 16:40:00,ST-56,2017-09-20 16:50:00,ST-50,4585
0,15,2017-09-20 16:50:00,ST-50,2017-09-20 17:00:00,ST-55,5328
0,0,2017-09-20 17:00:00,ST-55,2017-09-20 17:10:00,ST-56,462
0,15,2017-09-20 17:10:00,ST-56,2017-09-20 17:20:00,ST-55,1517
0,15,2017-09-20 17:20:00,ST-55,2017-09-20 17:30:00,ST-62,2516
0,15,2017-09-20 17:30:00,ST-62,2017-09-20 17:40:00,ST-70,3772
0,0,2017-09-20 17:40:00,ST-70,2017-09-20 17:50:00,ST-66,5048
0,0,2017-09-20 17:50:00,ST-66,2017-09-20 18:00:00,ST-424,5702
0,15,2017-09-20 18:00:00,ST-424,2017-09-20 18:10:00,ST-46,167
0,15,2017-09-20 18:10:00,ST-46,2017-09-20 18:20:00,ST-59,1297
0,0,2017-09-20 18:20:00,ST-59,2017-09-20 18:30:00,ST-56,2638
0,0,2017-09-20 18:30:00,ST-56,2017-09-20 18:40:00,ST-55,3565
0,15,2017-09-20 18:40:00,ST-55,2017-09-20 18:50:00,ST-67,4569
0,0,2017-09-20 18:50:00,ST-67,2017-09-20 19:00:00,ST-62,5733
0,15,2017-09-20 19:00:00,ST-62,2017-09-20 19:10:00,ST-50,681
0,14,2017-09-20 19:10:00,ST-50,2017-09-20 19:20:00,ST-51,1354
0,0,2017-09-20 19:20:00,ST-51,2017-09-20 19:30:00,ST-414,2403
0,1,2017-09-20 19:30:00,ST-414,2017-09-20 19:40:00,ST-47,3208
0,0,2017-09-20 19:40:00,ST-47,2017-09-20 19:50:00,ST-57,4399
0,11,2017-09-20 19:50:00,ST-57,2017-09-20 20:00:00,ST-60,5479
0,1,2017-09-20 20:00:00,ST-60,2017-09-20 20:10:00,ST-296,609
0,0,2017-09-20 20:10:00,ST-296,2017-09-20 20:20:00,ST-51,1098
0,14,2017-09-20 20:20:00,ST-51,2017-09-20 20:30:00,ST-414,2403
0,0,2017-09-20 20:30:00,ST-414,2017-09-20 20:40:00,ST-47,3208
0,2,2017-09-20 20:40:00,ST-47,2017-09-20 20:50:00,ST-57,4399
0,4,2017-09-20 20:50:00,ST-57,2017-09-20 21:00:00,ST-58,5477
0,15,2017-09-20 21:00:00,ST-58,2017-09-20 21:10:00,ST-50,553
0,1,2017-09-20 21:10:00,ST-50,2017-09-20 21:20:00,ST-51,1354
0,0,2017-09-20 21:20:00,ST-51,2017-09-20 21:30:00,ST-414,2403
0,1,2017-09-20 21:30:00,ST-414,2017-09-20 21:40:00,ST-47,3208
0,0,2017-09-20 21:40:00,ST-47,2017-09-20 22:00:00,Depot,4384
