datetime,Depot,ST-296,ST-297,ST-414,ST-424,ST-425,ST-45,ST-46,ST-47,ST-50,ST-51,ST-52,ST-53,ST-55,ST-56,ST-57,ST-58,ST-59,ST-60,ST-61,ST-62,ST-63,ST-64,ST-65,ST-66,ST-67,ST-68,ST-69,ST-70,ST-71,ST-72,ST-73,
2017-09-20 16:00:00,85,8,4,9,8,8,23,15,28,26,0,27,24,23,23,15,19,7,12,12,12,16,6,10,17,15,5,19,17,8,27,21,
2017-09-20 16:10:00,85,6,5,9,8,9,22,17,28,26,0,27,25,23,22,14,19,8,12,11,12,17,4,10,17,15,5,19,17,9,28,20,
2017-09-20 16:20:00,85,6,5,9,8,9,22,17,29,25,0,27,25,23,22,15,20,8,12,11,11,17,5,20,15,15,5,18,18,9,28,18,
2017-09-20 16:30:00,85,7,5,9,8,8,22,16,28,26,2,28,24,22,24,15,20,9,12,10,11,15,7,20,16,14,5,19,18,8,28,20,
2017-09-20 16:40:00,85,7,5,8,9,8,22,16,28,26,2,28,9,24,24,15,20,8,12,10,11,15,6,20,15,16,4,19,17,8,29,20,
2017-09-20 16:50:00,85,7,3,8,23,8,23,15,28,26,2,27,8,24,24,15,19,7,11,11,11,15,6,19,15,15,4,20,18,8,29,20,
2017-09-20 17:00:00,85,6,5,9,26,18,27,11,24,24,3,24,6,18,23,18,19,5,10,12,11,15,3,23,17,9,4,23,17,7,25,6,
2017-09-20 17:10:00,85,4,6,9,26,19,26,13,24,24,3,24,7,18,22,17,19,6,10,11,11,16,1,23,17,1,4,23,17,8,26,5,
2017-09-20 17:20:00,85,4,6,9,26,19,26,13,25,23,3,24,7,18,22,18,20,6,10,11,10,16,2,21,15,1,4,22,18,8,26,0,
2017-09-20 17:30:00,85,5,6,9,26,18,26,12,24,24,2,25,6,17,24,18,20,15,10,10,10,14,4,21,16,0,4,23,18,7,26,2,
2017-09-20 17:40:00,85,5,6,8,27,18,26,12,24,24,2,25,13,19,24,18,20,14,10,10,10,14,3,21,15,2,3,23,17,7,27,2,
2017-09-20 17:50:00,85,5,4,8,26,18,27,11,24,24,2,24,12,19,24,18,19,13,9,11,10,14,3,20,15,1,3,9,18,7,27,2,
2017-09-20 18:00:00,85,5,4,8,37,3,21,6,25,20,3,19,12,11,19,20,17,3,6,13,11,13,7,21,14,1,5,6,17,11,26,3,
2017-09-20 18:10:00,85,5,1,8,36,3,21,6,25,20,0,19,8,11,19,20,17,4,6,11,10,12,7,22,12,1,3,7,16,11,27,0,
2017-09-20 18:20:00,100,5,1,8,36,3,21,5,24,19,1,16,6,8,21,20,14,3,5,11,10,12,5,21,9,0,3,7,15,11,25,0,
2017-09-20 18:30:00,87,6,0,8,35,2,18,1,23,19,1,15,5,8,20,20,16,1,4,10,10,11,7,20,9,0,3,8,15,10,24,9,
2017-09-20 18:40:00,87,6,1,8,36,2,18,1,21,16,0,14,5,8,15,19,13,2,1,9,10,12,7,19,8,0,1,7,14,9,23,6,
2017-09-20 18:50:00,87,5,2,6,36,1,15,1,17,14,0,13,4,7,14,20,13,2,1,5,10,11,7,18,2,2,6,6,13,9,23,8,
2017-09-20 19:00:00,72,1,7,2,50,1,7,0,1,2,7,1,9,0,10,12,3,7,2,0,5,8,5,15,0,5,2,5,16,6,20,8,
2017-09-20 19:10:00,72,1,4,2,49,1,7,0,8,2,4,3,5,6,10,12,3,8,2,0,4,7,5,16,0,4,0,6,15,6,21,3,
2017-09-20 19:20:00,72,1,4,2,49,2,7,0,7,1,1,0,3,3,12,12,0,7,5,0,4,7,3,15,0,3,2,6,14,6,19,0,
2017-09-20 19:30:00,72,2,3,2,48,1,4,0,6,1,1,3,2,3,11,12,3,5,4,6,4,6,5,14,1,3,2,7,14,5,18,9,
