datetime,Depot,ST-296,ST-297,ST-414,ST-424,ST-425,ST-45,ST-46,ST-47,ST-50,ST-51,ST-52,ST-53,ST-55,ST-56,ST-57,ST-58,ST-59,ST-60,ST-61,ST-62,ST-63,ST-64,ST-65,ST-66,ST-67,ST-68,ST-69,ST-70,ST-71,ST-72,ST-73,
2017-09-20 16:00:00,0,2,1,0,0,0,1,0,0,0,1,0,0,2,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,
2017-09-20 16:10:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,4,2,0,1,1,0,0,0,4,
2017-09-20 16:20:00,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,
2017-09-20 16:30:00,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,4,
2017-09-20 16:40:00,0,0,2,0,1,0,0,1,1,0,0,1,1,0,0,0,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,
2017-09-20 16:50:00,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,3,
2017-09-20 17:00:00,0,1,1,1,0,0,0,1,3,0,1,0,1,3,1,2,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,4,
2017-09-20 17:10:00,0,0,0,0,0,1,0,1,1,0,0,1,2,1,1,1,0,2,0,0,1,0,2,1,1,0,2,0,0,0,1,2,
2017-09-20 17:20:00,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,2,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,
2017-09-20 17:30:00,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,2,1,0,1,1,0,0,0,6,
2017-09-20 17:40:00,0,0,1,0,0,0,1,1,1,0,1,1,0,0,2,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,
2017-09-20 17:50:00,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,1,2,1,0,1,0,0,0,1,1,1,2,0,0,2,
2017-09-20 18:00:00,0,2,3,1,1,0,0,1,0,0,3,0,4,0,1,2,0,0,1,2,2,1,0,0,2,1,2,0,1,0,1,8,
2017-09-20 18:10:00,0,0,0,0,0,0,0,2,3,2,3,3,3,3,0,1,3,1,1,1,0,0,2,1,3,1,0,0,1,0,2,1,
2017-09-20 18:20:00,0,0,1,0,1,1,4,5,1,0,1,1,1,1,2,1,0,2,1,1,1,1,0,1,1,1,2,0,0,1,1,3,
2017-09-20 18:30:00,0,0,0,0,0,0,0,0,2,3,2,1,1,0,5,2,3,3,3,1,1,0,0,2,1,1,3,2,2,2,2,9,
2017-09-20 18:40:00,0,2,0,2,0,1,3,0,5,3,0,2,2,1,1,3,0,1,1,4,0,2,0,1,2,1,0,2,3,0,0,3,
2017-09-20 18:50:00,0,1,0,0,0,0,1,1,1,0,0,3,1,3,2,2,6,0,1,1,0,1,2,1,1,0,3,0,0,1,2,6,
2017-09-20 19:00:00,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,2,0,0,0,0,1,1,1,0,1,2,0,0,2,0,4,
2017-09-20 19:10:00,0,1,0,1,0,0,1,0,1,2,0,0,1,1,2,2,1,1,1,0,0,0,0,2,1,0,0,0,2,0,1,4,
2017-09-20 19:20:00,0,0,0,1,0,1,0,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,3,
2017-09-20 19:30:00,0,0,2,1,0,0,0,0,2,0,1,1,1,0,0,2,2,0,0,1,1,2,1,1,0,2,1,0,0,1,0,3,
2017-09-20 19:40:00,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,2,2,0,1,0,0,0,0,1,0,1,0,0,1,1,
