Truck, # bikes, From time, From stn, To time, To stn, Arc num
0,15,2017-09-20 16:00:00,Depot,2017-09-20 16:20:00,ST-65,55
0,3,2017-09-20 16:20:00,ST-65,2017-09-20 16:30:00,ST-51,2826
0,0,2017-09-20 16:30:00,ST-51,2017-09-20 16:40:00,ST-53,3436
0,15,2017-09-20 16:40:00,ST-53,2017-09-20 16:50:00,ST-424,4516
0,0,2017-09-20 16:50:00,ST-424,2017-09-20 17:00:00,ST-425,5285
0,4,2017-09-20 17:00:00,ST-425,2017-09-20 17:10:00,ST-67,217
0,12,2017-09-20 17:10:00,ST-67,2017-09-20 17:20:00,ST-73,1887
0,15,2017-09-20 17:20:00,ST-73,2017-09-20 17:30:00,ST-59,3089
0,7,2017-09-20 17:30:00,ST-59,2017-09-20 17:40:00,ST-53,3660
0,0,2017-09-20 17:40:00,ST-53,2017-09-20 17:50:00,ST-69,4539
0,15,2017-09-20 17:50:00,ST-69,2017-09-20 18:00:00,ST-424,5897
0,6,2017-09-20 18:00:00,ST-424,2017-09-20 18:10:00,ST-73,191
0,4,2017-09-20 18:10:00,ST-73,2017-09-20 18:20:00,ST-51,2058
0,0,2017-09-20 18:20:00,ST-51,2017-09-20 18:30:00,Depot,2400
0,13,2017-09-20 18:30:00,Depot,2017-09-20 18:40:00,ST-59,3121
0,9,2017-09-20 18:40:00,ST-59,2017-09-20 18:50:00,ST-66,4696
0,15,2017-09-20 18:50:00,ST-66,2017-09-20 19:00:00,ST-424,5924
0,15,2017-09-20 19:00:00,ST-424,2017-09-20 19:10:00,ST-47,168
0,8,2017-09-20 19:10:00,ST-47,2017-09-20 19:20:00,ST-73,1343
0,11,2017-09-20 19:20:00,ST-73,2017-09-20 19:30:00,ST-52,3083
0,7,2017-09-20 19:30:00,ST-52,2017-09-20 19:40:00,ST-50,3465
0,3,2017-09-20 19:40:00,ST-50,2017-09-20 19:50:00,ST-58,4432
0,0,2017-09-20 19:50:00,ST-58,2017-09-20 20:00:00,ST-46,5584
0,15,2017-09-20 20:00:00,ST-46,2017-09-20 20:10:00,ST-64,278
0,0,2017-09-20 20:10:00,ST-64,2017-09-20 20:20:00,ST-70,1788
0,15,2017-09-20 20:20:00,ST-70,2017-09-20 20:30:00,ST-66,3000
0,13,2017-09-20 20:30:00,ST-66,2017-09-20 20:40:00,ST-53,3884
0,14,2017-09-20 20:40:00,ST-53,2017-09-20 20:50:00,ST-58,4528
0,14,2017-09-20 20:50:00,ST-58,2017-09-20 21:00:00,ST-53,5676
0,1,2017-09-20 21:00:00,ST-53,2017-09-20 21:10:00,ST-55,429
0,0,2017-09-20 21:10:00,ST-55,2017-09-20 21:20:00,ST-68,1498
0,1,2017-09-20 21:20:00,ST-68,2017-09-20 21:30:00,ST-57,2927
0,2,2017-09-20 21:30:00,ST-57,2017-09-20 21:40:00,ST-296,3585
0,3,2017-09-20 21:40:00,ST-296,2017-09-20 21:50:00,ST-45,4166
0,0,2017-09-20 21:50:00,ST-45,2017-09-20 22:00:00,Depot,5289
