구명,ID,num,대여소명,대여소.주소,거치대수,lat,lon
영등포구,Depot,0,영남보관소,서울특별시 영등포구 영등포로34길 9,50,37.520567,126.902621
영등포구,ST-296,248,초원아파트 앞,서울특별시 영등포구 여의도동8-13초원아파트 앞,10,37.531055,126.92421
영등포구,ST-297,249,여의도중학교 옆,서울특별시 영등포구 여의도동 8여의도중학교 옆,8,37.52412,126.936546
영등포구,ST-414,260,여의도 마리나선착장 앞,서울특별시 영등포구 여의서로 160여의도 마리나선착장 앞,15,37.533817,126.912491
영등포구,ST-424,270,증권거래소후문교차로,서울특별시 영등포구 여의나루로 76증권거래소후문교차로,10,37.522343,126.927101
영등포구,ST-425,271,샛강생태공원방문자센터 앞,서울특별시 영등포구 여의동로 48샛강생태공원장문자센터 앞,10,37.518963,126.921616
영등포구,ST-45,200,국회의원회관,서울특별시 영등포구 의사당대로 11,20,37.528728,126.914925
영등포구,ST-46,201,진미파라곤 앞,서울특별시 영등포구 국회대로76길 1013-1,15,37.531239,126.921333
영등포구,ST-47,202,국민일보 앞,서울특별시 영등포구 여의공원로 101101,30,37.528816,126.92453
영등포구,ST-50,204,국회의사당역 5번출구 옆,서울특별시 영등포구 의사당대로 88,13,37.528164,126.917023
영등포구,ST-51,203,국회의사당역 3번출구 옆,서울특별시 영등포구 국회대로 지하758758,15,37.528057,126.918701
영등포구,ST-52,205,산업은행 앞,서울특별시 영등포구 의사당대로 9797,20,37.526264,126.920509
영등포구,ST-53,206,KBS 앞,서울특별시 영등포구 여의공원로 1313,35,37.524666,126.918022
영등포구,ST-55,209,유진투자증권빌딩 앞,서울특별시 영등포구 국제금융로 2424-3,12,37.524612,126.927834
영등포구,ST-56,210,IFC몰,서울특별시 영등포구 국제금융로 10IFC몰앞,21,37.526066,126.925537
영등포구,ST-57,211,여의도역 4번출구 옆,서울특별시 영등포구 국회대로68길 726,13,37.522228,126.924637
영등포구,ST-58,212,여의도역 1번출구 옆,서울특별시 영등포구 의사당대로 8827-1,35,37.521362,126.923462
영등포구,ST-59,213,KT앞,서울특별시 영등포구 여의대로 3827,15,37.521908,126.918953
영등포구,ST-60,214,금융감독원 앞,서울특별시 영등포구 여의대로 38금융감독원 앞,20,37.523022,126.920837
영등포구,ST-61,218,증권거래소 앞,서울특별시 영등포구 여의나루로 76증권거래소 앞,20,37.523277,126.929237
영등포구,ST-62,219,롯데캐슬엠파이어 옆,서울특별시 영등포구 의사당대로 127롯데캐슬엠파이어 옆,12,37.520695,126.925835
영등포구,ST-63,220,미성아파트 A동 앞,서울특별시 영등포구 의사당대로 110미성아파트 A동 앞,30,37.519363,126.926048
영등포구,ST-64,215,여의도고교 앞,서울특별시 영등포구 국제금융로7길 37여의도고등학교 앞,10,37.524837,126.934906
영등포구,ST-65,216,삼부아파트1동 앞,서울특별시 영등포구 국제금융로7길 27삼부아파트 1동 앞,10,37.523491,126.932899
영등포구,ST-66,217,NH농협은행 앞,서울특별시 영등포구 국제금융로8길 2NH농협은행 앞,10,37.522079,126.930367
영등포구,ST-67,221,여의도초교 앞,서울특별시 영등포구 여의대방로 439여의도초등학교 앞,10,37.522675,126.93779
영등포구,ST-68,222,시범아파트버스정류장 옆,서울특별시 영등포구 63로 45시범아파트버스정류장 옆,12,37.520271,126.938881
영등포구,ST-69,223,진주아파트상가 앞,서울특별시 영등포구 국제금융로 108-6진주아파트상가 앞,20,37.519314,126.933167
영등포구,ST-70,224,롯데캐슬 앞,서울특별시 영등포구 국제금융로 86롯데캐슬 앞,20,37.520088,126.932365
영등포구,ST-71,225,앙카라공원 앞,서울특별시 영등포구 의사당대로 지하166앙카라공원 앞,26,37.517368,126.929253
영등포구,ST-72,226,샛강역 1번출구 앞,서울특별시 영등포구 의사당대로 지하166샛강역 1번출구 앞,20,37.517765,126.928413
영등포구,ST-73,207,여의나루역 1번출구 앞,서울특별시 영등포구 여의동로 지하343여의나루역 1번출구 앞,40,37.526989,126.932098
